,Address,Name Tag,Balance,Txn Count
0,0xa8d394fe7380b8ce6145d5f85e6ac22d4e91acde,Wormhole: BUSD Token,0 MATIC,4011
1,0x9cd6746665d9557e1b9a775819625711d0693439,Wormhole: LUNA Token,0 MATIC,20926
2,0xd93f7e271cb87c23aaa73edc008a79646d1f9912,Wormhole: SOL Token,0 MATIC,5801
3,0x5a58505a96d1dbf8df91cb21b54419fc36e93fde,Wormhole: Token Bridge,75.14011184 MATIC,188347
4,0x4318cb63a2b8edf2de971e2f17f77097e499459d,Wormhole: USDCet Token,0 MATIC,2124
5,0x576cf361711cd940cd9c397bb98c4c896cbd38de,Wormhole: USDCso Token,0 MATIC,13072
6,0x3553f861dec0257bada9f8ed268bf0d74e45e89c,Wormhole: USDT Token,0 MATIC,2390
7,0x9417669fbf23357d2774e9d421307bd5ea1006d2,Wormhole: USDTet Token,0 MATIC,1004
8,0xe6469ba6d2fd6130788e0ea9c0a0515900563b59,Wormhole: UST Token,0 MATIC,23696
9,0x7bb11e7f8b10e9e571e5d8eace04735fdfb2358a,Wormhole: WAVAX Token,0 MATIC,604
10,0xecdcb5b88f8e3c15f95c720c51c71c9e2080525d,Wormhole: WBNB Token,0 MATIC,10953
11,0x5d49c278340655b56609fdf8976eb0612af3a0c3,Wormhole: WBTC Token,0 MATIC,106
