,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,(PoS) Tether USD (USDT),"$79,206,816,756.00",1302245,
1,2,0xfbdd194376de19a88118e84e279b977f165d01b8,beefy.finance (BIFI),"$39,443,788.00",5396,
2,3,0xdf00c50a3dae240860f57b77508203b8d9593283,IceToken (ICE),"$10,225,435.00",4,
3,4,0xe3eeda11f06a656fcaee19de663e84c7e61d3cac,(PoS) Tether USD (anyUSDT),$0.00,324,
4,5,0xe4c2b5db9de5da0a17ed7ec7176602ad99e52624,Orbit Bridge Polygon Ethereum (oETH),$0.00,1194,
5,6,0x957da9ebbcdc97dc4a8c274dd762ec2ab665e15f,Orbit Bridge Polygon Tether USD (oUSDT),$0.00,1613,
6,7,0x12c9ffe6538f20a982fd4d17912f0ca00fa82d30,Orbit Bridge Polygon Orbit Chain (oORC),$0.00,829,
7,8,0x5bef2617ecca9a39924c09017c5f1e25efbb3ba8,Orbit Bridge Polygon USD Coin (oUSDC),$0.00,930,
8,9,0xe631ffaa2cf4d91aac3e9589a5d5b390c82a032e,Orbit Bridge Polygon Wrapped BTC (oWBTC),$0.00,107,
9,10,0x8ece0a50a025a7e13398212a5bed2ded11959949,Orbit Bridge Polygon Dai (oDAI),$0.00,703,
10,11,0x6f6a94eb4c6095885f271dc14ca1e4240cf4dd95,Orbit Bridge Matic HECO TOKEN (MHT),$0.00,33,
11,12,0xcc2a9051e904916047c26c90f41c000d4f273456,Orbit Bridge Polygon XRP Token (oXRP),$0.00,834,
12,13,0xd69b31c3225728cc57ddaf9be532a4ee1620be51,USDC (anyUSDC),$0.00,1126,
13,14,0x9b17baadf0f21f03e35249e0e59723f34994f806,(PoS) Dai Stablecoin (anyDAI),$0.00,165,
14,15,0xbd83010eb60f12112908774998f65761cf9f6f9a,Wrapped Ether (anyETH),$0.00,58,
15,16,0xdf00960e0adfea78ee29da7fcca17cfdddc0a4ca,Cartesi Token (PoS) (anyCTSI),$0.00,2,
16,17,0x3b79a28264fc52c7b4cea90558aa0b162f7faf57,Peri Finance Token (anyPERI),$0.00,1,
17,18,0xc789f877fbb6aa4457ee5531cceb76da6d3d1e3f,Kripton (anyLPK),$0.00,2,
18,19,0x3d8f74620857dd8ed6d0da02ceb13fd0ed8ba678,xDollar (anyXDO),$0.00,3,
19,20,0x9bd3fac4d9b051ef7ca9786aa0ef5a7e0558d44c,Wrapped Banano (anywBAN),$0.00,-,
20,21,0xbf05279f9bf1ce69bbfed670813b7e431142afa4,Synapse Network (anySNP),$0.00,1,
21,22,0xbccff1c6c1ca650f533d3dcc5f4722aae6718337,Fear NFTs (PoS) (anyFEAR),$0.00,1,
22,23,0x61b31f8d9d8bd303891ec4030b1206cab9488c95,Jarvis Synthetic Euro (anyjEUR),$0.00,1,
23,24,0xdfed31e640b7280f76f046a97179e5e369d209b5,Dogira (anyDOGIRA),$0.00,5,
