,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xb33eaad8d922b1083446dc23f610c2567fb5180f,Uniswap (PoS) (UNI),"$4,356,251,169.00",32668,
1,2,0xB5C064F955D8e7F38fE0460C556a72987494eE17,QuickSwap (QUICK),"$47,418,192.00",7215,
2,3,0x42d61D766B85431666B39B89C43011f24451bFf6,ParaSwap (PoS) (PSP),"$42,794,276.00",6045,
3,4,0xc168e40227e4ebd8c1cae80f7a55a4f0e6d66c97,DFYN Token (PoS) (DFYN),"$7,534,537.00",17684,
4,5,0x0e98c977b943f06075b2d795794238fbfb9b9a34,TOMB (TOMB),"$4,607,206.00",245,
5,6,0xa486c6bc102f409180ccb8a94ba045d39f8fc7cb,Nash Exchange Token (PoS) (NEX),"$4,406,532.00",529,
6,7,0xc3cffdaf8f3fdf07da6d5e3a89b8723d5e385ff8,Rubic (PoS) (RBC),"$1,896,754.00",871,
7,8,0xfafa220145dfa5c3ec85b6fa8a75aee2451cde5e,ROOBEE (ROOBEE),"$1,227,934.00",12,
8,9,0xe3ab61371ecc88534c522922a026f2296116c109,MOchi MArket (MOMA),"$141,367.00",124,
9,10,0xb5106a3277718ecad2f20ab6b86ce0fee7a21f09,CafeSwap Token (pBREW),"$90,415.00",3614,
10,11,0x4c4bf319237d98a30a929a96112effa8da3510eb,WaultSwap Polygon (WEXpoly),"$16,740.00",24287,
11,12,0x2db0Db271a10661e7090b6758350E18F6798a49D,Mobius Token (MOT),$0.00,477,
12,13,0x9B595763C537d06e65A6fF0D3140F79D9de7421E,Kaki Token (KAKI),$0.00,462,
13,14,0xdCeF356230C88DfC44E90C7434f066Dd3e44a925,Kaki Pit (xKAKI),$0.00,32,
14,15,0xA953736904e23Fafb42e353D4122420899999999,forbitspace (FBS),$0.00,42,
15,16,0xba25b552c8a098afdf276324c32c71fe28e0ad40,MacaronSwap Token (MCRN),$0.00,241,
16,17,0xd0cfd20e8bbdb7621b705a4fd61de2e80c2cd02f,SafeSwap (SSGTx),$0.00,1584,
17,18,0x0be3afd0a28f0aa787d113c08d1d8a903cf6eee9,FeSwap DAO (FESW@M),$0.00,10068,
18,19,0x673a11e6AFAaBED2d34E07e1259f09F06C7fed03,USMART (SMART),$0.00,7,
19,20,0x8b1f836491903743fe51acd13f2cc8ab95b270f6,ACY (PoS) (ACY),$0.00,2872,
20,21,0x82362ec182db3cf7829014bc61e9be8a2e82868a,Meshswap Protocol (MESH),$0.00,15860,
21,22,0xd78c475133731cd54dadcb430f7aae4f03c1e660,Firebird.Finance (HOPE),$0.00,3364,
22,23,0x80244c2441779361f35803b8c711c6c8fc6054a3,Bone Token (BONE),$0.00,1652,
23,24,0xabe1a652cbc6eb1782b5de4e800f8bf714aaf5d0,CandyDex (CANDYDEX),$0.00,384579,
24,25,0xbf3d1003d1497268d18ffc619bdd345701f19a3f,Luna Yield (LUNY),$0.00,32,
25,26,0x1b7805e2829fd7D194DCc3078a4199b13c77E467,AuraSwap Token (AURA),$0.00,291,
26,27,0x55e220E425989DeBae1eaF130246d0B6c6ea0cF9,Crypto Swap V2 (CPSP),$0.00,1,
27,28,0x1e54cf1e8006c82065ba89c57b243a82a369fa96,SeaLightSwap (SEAS),$0.00,12,
28,29,0xe0f463832295adf63eb6ca053413a3f9cd8bf685,Snowflake (SNOW),$0.00,823,
29,30,0x349eade791a30f00f690cf2ae0d5d78c06786cb0,PariDEX (PARI),$0.00,175,
30,31,0x04d14e186ac67cace302a99d81688e824d1d52ef,Leva Dollar (LVUSD),$0.00,2,
31,32,0x542af0d2ec7f5a92f9caddadd4e33b75d15f800c,Resardis Token (PoS) (RSD),$0.00,1,
