,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x58c1bbb508e96cfec1787acf6afe1c7008a5b064,hoge.finance (HOGE),"$10,749,053.00",122,
1,2,0xafcdd4f666c84fed1d8bd825aa762e3714f652c9,Vita Inu (VINU),"$10,100,459.00",296,
2,3,0x8a953cfe442c5e8855cc6c61b1293fa648bae472,PolyDoge (PolyDoge),"$7,367,663.00",226082,
3,4,0x0e7252706393470FfB0629DA2CAa39Fc9340F2d4,DogeGF (DOGEGF),"$3,609,489.00",740,
4,5,0xffb89d7637cf4860884ed48b57ae5562bf64e10f,PIKA (PIKA),"$927,243.00",5031,
5,6,0xefbf638f5de8c3dc80e925822276a5101fc09dd9,Rise For Ever (RISE4E),$0.00,145,
6,7,0xdf2140dee6b07ae495382bc1cd446f7b328f63e3,Polygon BabyDoge (PolyBabyDoge),$0.00,11579,
7,8,0x4668e4225e6bf7469c70adb17a6e1cacd03e7c85,Alpha Shiba Inu (ALPHASHIB),$0.00,1200,
8,9,0x474532388a5c2373dd1584beb636157a533f8dac,PolyDough (PolyDough),$0.00,22230,
9,10,0x21364671fd823bbda8ba1f40a24171decbdb3d54,Shibies Treats (TREATS),$0.00,435262,
10,11,0x85eca3374d7fea1ecd79bb4d875cf9e220e9fbdb,DOGE2 (DOGE2),$0.00,31516,
11,12,0x4227c55bf21e95a87c00988fec98c50e9aba866c,Fluffy Corgi Inu (FluffyCorgi),$0.00,31656,
12,13,0x6548ecae23a269f90d080f4df9431e5e84baf8b3,BLIZZ (BLZ),$0.00,13,
13,14,0xf13bfc42bfcc421db1fd471ec49bb865cede7270,PolyPug (PolyPug),$0.00,1069,
14,15,0xb362A97aD06C907c4b575D3503fB9DC474498480,Mare Bits (PoS) (MARE),$0.00,58,
15,16,0xf275bf779e6629ecc47e5e0f5c60ec1034800478,LOLCAT Token (LOLCAT),$0.00,41778,
16,17,0xe900e5e39443be779f28412db4e7b2fc0f2da13d,Poly Husky Coin (PLYHC),$0.00,74,
17,18,0x5d40b60f52C552A01866dFd954d935CbF7a9Bb46,Doge Yellow Coin (DOGEY),$0.00,1,
18,19,0x8dfdc61c7c7551d0deec950a2822eb59cddb8f59,Scoobi-Doge (SCooBi),$0.00,85,
19,20,0x9759da63c680844ec7753945e604c5a0c7f0b4d9,Hemeta HEME (HEME),$0.00,2959,
20,21,0x43a927aa7927fce2588025cccb13a8fd0632c059,MetaSHIBAZero (METASHIBZ),$0.00,6340,
21,22,0x6136C3Bdb249db784Ba809dff5680537E9C3cb19,Doobie Love (DOOBIE),$0.00,3,
22,23,0x0422b63182798ae9876cae3cabd225d96b284d14,Defido Coin (BASE),$0.00,16,
23,24,0x0d450bf37ec899cca90ede124b3e69c9ae2f2f1c,FuYoH (FYH),$0.00,26264,
24,25,0x155ab9cd3655aa6174e1e743a6da1e208762b03d,Clever Minu (CLEVERMINU),$0.00,183598,
25,26,0x173F9c8492F19Ebe9987E8eA6507e17d40f23328,TDOX (TDOX),$0.00,17664,
26,27,0x058aF2E730FB5EE7E1d7ECBc5079be1AABD30513,AnkoCoin (PoS) (ANKO),$0.00,37045,
27,28,0x5d3cc19f4b811921aea6e178591d4dd7fbf4f146,SEMAR INU (SEMAR),$0.00,49,
28,29,0xc26f87655de7d7d30def5840b76aec7249b3aae8,BearsMiners (GOLD),$0.00,1524,
29,30,0xb7D837aec6EEdACfbF7a34676a64F6e17f332326,Walter Token (WALT),$0.00,1,
