,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x229b1b6c23ff8953d663c4cbb519717e323a0a84,BLOK (BLOK),"$44,098,459.00",75589,
1,2,0xef938b6da8576a896f6e0321ef80996f4890f9c4,Decentral Games (PoS) (DG),"$23,133,276.00",5559,
2,3,0xc6480da81151b2277761024599e8db2ad4c388c8,Decentral Games Governance (PoS) (xDG),"$14,876,367.00",5195,
3,4,0xc27158bb8e08899d38765752f91d7d778e16ab8e,Kapital DAO Token (FXERC20) (fxKAP),"$5,746,899.00",2,
4,5,0xc6c855ad634dcdad23e64da71ba85b8c51e5ad7c,Decentral Games ICE (ICE),"$3,152,629.00",16517,
5,6,0x8d1566569d5b695d44a9a234540f68d393cdc40d,GAME Credits (GAME),"$2,860,037.00",4949,
6,7,0x1796ae0b0fa4862485106a0de9b654efe301d0b2,Polychain Monsters (PMON),"$2,136,452.00",2069,
7,8,0x4287F07CBE6954f9F0DecD91d0705C926d8d03A4,Trace Network (TRACE),"$1,314,009.00",1423,
8,9,0xa4ce4a467e51aefec683a649c3f14427f104667f,ONSTON (ONSTON),"$1,140,570.00",7364,
9,10,0x475DB18D764DF7FaDfbD3e73fcCbBC1e14342aB3,ApolloFi (APO),"$270,827.00",4725,
10,11,0x42e5e06ef5b90fe15f853f59299fc96259209c5c,Aavegotchi KEK (KEK),"$190,668.00",29330,
11,12,0x44a6e0be76e1d9620a7f76588e4509fe4fa8e8c8,Aavegotchi FOMO (FOMO),"$160,765.00",35082,
12,13,0x6a3e7c3c6ef65ee26975b12293ca1aad7e1daed2,Aavegotchi ALPHA (ALPHA),"$105,105.00",32066,
13,14,0x403e967b044d4be25170310157cb1a4bf10bdd0f,Aavegotchi FUD (FUD),"$102,349.00",35930,
14,15,0x91c5a5488c0decde1eacd8a4f10e0942fb925067,Auditchain (AUDT),$0.00,569,
15,16,0xe91A7256d51295d3964F011a849b2d6d91cfa816,Planet (PLANET),$0.00,-,
16,17,0x93C46aA4DdfD0413d95D0eF3c478982997cE9861,OVRLand (OVR Land),$0.00,-,
17,18,0xfcaf236ac49f710a702c24a5aaf9e51ed4f6c44f,9Metaverse 9Cat Saga (9M9CS),$0.00,-,
18,19,0x98dd4371579d35883bf37c84666b0300ea619ffa,WHEAT (WHT),$0.00,2,
19,20,0x04965909eaab3ef23fff2b3956fa6cd5e0bae180,Zircon Meta Token (ZMT),$0.00,222,
20,21,0x80d8ec33de95e8b2c50395b2242e67766fe5cf2b,MetaMars Cooling (MMC),$0.00,34284,
21,22,0xcf8193d110c2c817a54a693664e00a0b2b44a3ce,Evveland (EVVE),$0.00,117,
22,23,0x1c97DE3E4ff34c0089D863fb84dd78472639BA97,Phinnexx (PNX),$0.00,101,
23,24,0x0e94314f9e6067595929fa31c86c3c5268e2491b,ORBITAL COIN (AOM),$0.00,428,
24,25,0x9f95e17b2668afe01f8fbd157068b0a4405cc08d,Bullieverse (BULL),$0.00,12169,
25,26,0x91642fb562f0736757e47f1853026a32e601a2c5,JeroCoin (JERO),$0.00,75,
26,27,0x3237b63e0b160ce10402550342b29c8e64cd83bd,MetaMars Active (MMA),$0.00,63279,
27,28,0xb96af157655b7c9384a32213861d2aa6673dca9e,Metaverse Sagas (MVS),$0.00,99,
28,29,0x9767203e89dcd34851240b3919d4900d3e5069f1,A4 (A4),$0.00,21,
29,30,0x506892c5d806c1447a9f73366623b5c64a72816f,TiraVerse (TVRS),$0.00,1,
30,31,0x3f4203223440348344d730fbba18797f55dca628,PRAY TOKEN (PRAY),$0.00,154,
31,32,0x40f4864ce6369988cfbe59dac73a7779afbcabf8,Koolpeace (KOOL),$0.00,32,
32,33,0xE00DeC05D7601D4a3729B03e451CcD9bc63a4B7e,MyWorldToken (MWT),$0.00,338,
33,34,0x202655af326de310491cb54f120e02ee0da92b55,CRETA TOKEN (CRETA),$0.00,1247,
34,35,0x49c171f00a552a005fca3960122a2321c96f6a38,Suite Token (Suite),$0.00,75,
35,36,0xFb398Fb7Ff4FF7b532905f77dB07401FeC5FdDF8,Birb Seedz (SDZ),$0.00,20,
36,37,0xad8abc665b9c2587788746fa7531b49cd2648574,Evveland Smart Venue (EVVENFT),$0.00,-,
37,38,0xba8c3db050dd99cbe7f980f3d8f48084c6dcc20b,MetaRing (ME),$0.00,-,
38,39,0xff2382bd52efacef02cc895bcbfc4618608aa56f,One Rare Token (ORARE),$0.00,2436,
39,40,0xA12566Dd315B1419e7B9F5f4E5559a7E7E48Db22,Mint Marble (MIM),$0.00,325,
40,41,0x2966f74b8cedFb2016f1dD69562db81803D9dD16,MetaFashion (MTFSN),$0.00,17,
