,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x0000000000000000000000000000000000001010,Matic Token (MATIC),"$9,981,877,934.00",79978,
1,2,0x598e49f01befeb1753737934a5b11fea9119c796,Adshares (PoS) (ADS),"$33,221,259.00",15502,
2,3,0x2f800db0fdb5223b3c3f354886d907a671414a7f,Toucan Protocol: Base Carbon Tonne (BCT),"$29,375,120.00",14998,
3,4,0x900F717EA076E1E7a484ad9DD2dB81CEEc60eBF1,ANGLE (ANGLE),"$9,079,300.00",361,
4,5,0xdab625853c2b35d0a9c6bd8e5a097a664ef4ccfb,Quadrant Protocol (eQUAD),"$7,291,595.00",9439,
5,6,0xE7804D91dfCDE7F776c90043E03eAa6Df87E6395,DFX Token (PoS) (DFX),"$4,245,234.00",1502,
6,7,0x613a489785c95afeb3b404cc41565ccff107b6e0,RadioShack Token (RADIO),"$2,287,121.00",2747,
7,8,0xC250e9987A032ACAC293d838726C511E6E1C029d,Otter Clam (CLAM),"$1,895,050.00",1779,
8,9,0x10010078a54396f62c96df8532dc2b4847d47ed3,Hundred Finance (HND),"$1,259,071.00",156,
9,10,0xAC63686230f64BDEAF086Fe6764085453ab3023F,Universal Store of Value (USV),"$1,251,106.00",304,
10,11,0xd3b71117e6c1558c1553305b44988cd944e97300,YEL Token (YEL),"$1,069,302.00",3580,
11,12,0xe82808eaa78339b06a691fd92e1be79671cad8d3,PlotX (PLOT),"$839,326.00",35182,
12,13,0x77D97db5615dFE8a2D16b38EAa3f8f34524a0a74,LunaFi (LFI),"$553,638.00",304,
13,14,0x4af5ff1a60a6ef6c7c8f9c4e304cd9051fca3ec0,RigelToken (RGP),"$22,846.00",3106,
14,15,0xd10852df03ea8b8af0cc0b09cac3f7dbb15e0433,Flux Protocol (FLUX),$0.00,968,
15,16,0x6dd04cf9d7221fedd6a8008d1577f3abbb011e1c,EGG Protocol (EGG),$0.00,101,
16,17,0x381d168de3991c7413d46e3459b48a5221e3dfe4,CUBO token (CUBO),$0.00,2229,
17,18,0xd0f3121a190d85de0ab6131f2bcecdbfcfb38891,PolyYeld Token (YELD),$0.00,4819,
18,19,0xf17cef41655c7aa2987ef5973ea816f0b7db2735,Float Long CVI 2x (fl2CVI),$0.00,7,
19,20,0x67c349467d639a9e0822c079aee8df9964308bc9,Float Short CVI 2x (fs2CVI),$0.00,9,
20,21,0x5add940afd2077c7332205d971bdb7efda0b1a95,Float Long LINK 2x (fl2LINK),$0.00,18,
21,22,0xa5f32126b7f0c893c32caebf76faab7fac2b1336,Float Short LINK 2x (fs2LINK),$0.00,15,
22,23,0x1545747ab2255b065fb0c0badbb80e80bc2d93ce,Float Long OHMv2 2x (fl2OHMv2),$0.00,19,
23,24,0xe222470497901ef69f7ef3ce4b9830d35bea945a,Float Short OHMv2 2x (fs2OHMv2),$0.00,15,
24,25,0xd838290e877e0188a4a44700463419ed96c16107,Toucan Protocol: Nature Carbon Tonn... (NCT),$0.00,771,
25,26,0xB4Edfb45446C6A207643Ea846BFA42021cE5ae11,Mean Finance DCA (DCA),$0.00,-,
26,27,0xbd8005612124DC30601E22D8B5d188A89767c640,Exohood (EXO),$0.00,367,
27,28,0xc6b30dfa547c9f5403b7fed44fc45cd309e76dde,Bluejay Token (BLU),$0.00,53,
28,29,0x179b734d0291fa9e3a4728c7c27866ee25ccc3e0,Generation-Peg GEN Token (GEN),$0.00,5,
29,30,0xcd18115fb8fd80269e71ba8579437ca114a67a43,DocuChain (DCCT),$0.00,6,
30,31,0x88a3acac5c48f93121d4d7771a068a1fcde078bc,Ivory Token (IVORY),$0.00,1256,
31,32,0x8201532917e55ba29674ef4e88ffe0b775f1bae8,Tower Stablecoin (TOWER),$0.00,129,
32,33,0xe8521b61f64fc45a0bc3db36d2a524fe61a69b52,Duet Governance Token (DUET),$0.00,1,
33,34,0xfb4449b3a2f86b4a99907855ed6ce4ddc8cf8247,Float Long AXS 2x (fl2AXS),$0.00,23,
