,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x170a18b9190669cda08965562745a323c907e5ec,TetherToken (pUSDt),"$79,206,816,756.00",-,
1,2,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,(PoS) Tether USD (USDT),"$79,206,816,756.00",1302245,
2,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,USD Coin (PoS) (USDC),"$33,934,668,089.00",1357041,
3,4,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,(PoS) Dai Stablecoin (DAI),"$5,238,797,213.00",1002218,
4,5,0x2e1ad108ff1d8c782fcbbb89aad783ac49586756,TrueUSD (TUSD),"$2,045,306,457.00",5020,
5,6,0x45c32fa6df82ead1e2ef74d17b76547eddfaff89,Frax (FRAX),"$1,046,259,720.00",33864,
6,7,0xffa4d863c96e743a2e1513824ea006b8d0353c57,Decentralized USD (PoS) (USDD),"$720,970,896.00",56,
7,8,0x3e121107f6f22da4911079845a470757af4e1a1b,Frax Share (PoS) (FXS),"$562,989,866.00",2053,
8,9,0x1a3acf6d19267e2d3e7f898f42803e90c9219062,Frax Share (FXS),"$562,989,866.00",4556,
9,10,0xDC3326e71D45186F113a2F448984CA0e8D201995,XSGD (XSGD),"$65,944,313.00",694,
10,11,0xB0B195aEFA3650A6908f15CdaC7D92F8a5791B0B,BOB (BOB),"$52,549,915.00",2995,
11,12,0xa3fa99a148fa48d14ed51d610c367c61876997f1,miMATIC (miMATIC),"$43,261,434.00",31368,
12,13,0xCf66EB3D546F0415b368d98A95EAF56DeD7aA752,dForce USD (USX),"$39,927,494.00",44,
13,14,0x236eec6359fb44cce8f97e99387aa7f8cd5cde1f,USD+ (USD+),"$23,655,516.00",3600,
14,15,0x4e36d8006416ea1d939a0eeae73afdaca86bd376,Wrapped USD+ (wUSD+),"$23,655,516.00",83,
15,16,0xe0b52e49357fd4daf2c15e02058dce6bc0057db4,agEUR (agEUR),"$20,915,769.00",3726,
16,17,0xb5dfabd7ff7f83bab83995e72a52b97abb7bcf63,Real USD (USDR),"$11,166,953.00",143,
17,18,0x2c826035c1C36986117A0e949bD6ad4baB54afE2,XIDR (XIDR),"$6,369,654.00",117,
18,19,0x2f1b1662a895c6ba01a99dcaf56778e7d77e5609,Spice USD (USDS),"$1,392,346.00",94,
19,20,0x08be454de533509e8832b257116c5506e55b0b64,Standard (STND),"$890,259.00",155,
20,21,0x88a3acac5c48f93121d4d7771a068a1fcde078bc,Ivory Token (IVORY),$0.00,1256,
21,22,0x8201532917e55ba29674ef4e88ffe0b775f1bae8,Tower Stablecoin (TOWER),$0.00,129,
22,23,0x4e3decbb3645551b8a19f0ea1678079fcb33fb4c,Jarvis Synthetic Euro (jEUR),$0.00,5573,
23,24,0x413cfe1c41f98879365d665cacb7e79a60001fee,oUSDT (oUSDT),$0.00,103,
24,25,0xe840b73e5287865eec17d250bfb1536704b43b21,mUSD (mStable USD (Polygon PoS)),$0.00,389,
25,26,0xd85A8B4964850aE85121D5652e6F0696512FEb10,Jax Rupee (JAX RUPEE),$0.00,2,
26,27,0x9E79696a4C1163D35f01d71DcbBc5C139691C6D3,Jax Dollar (JAX DOLLAR),$0.00,2,
27,28,0x486880FB16408b47f928F472f57beC55AC6089d1,Jarvis Synthetic Philippine Peso (jPHP),$0.00,221,
28,29,0xa926db7a4CC0cb1736D5ac60495ca8Eb7214B503,Jarvis Synthetic Singapore Dollar (jSGD),$0.00,254,
29,30,0x8ca194A3b22077359b5732DE53373D4afC11DeE3,Jarvis Synthetic Canadian Dollar (jCAD),$0.00,352,
30,31,0x8343091F2499FD4b6174A46D067A920a3b851FF9,Jarvis Synthetic Japanese Yen (jJPY),$0.00,511,
31,32,0x197e5d6ccff265ac3e303a34db360ee1429f5d1a,Jarvis Synthetic Swedish Krona (jSEK),$0.00,157,
32,33,0xCB7F1Ef7246D1497b985f7FC45A1A31F04346133,Jarvis Synthetic Australian Dollar (jAUD),$0.00,146,
33,34,0xE6d222caAed5F5DD73A9713AC91C95782e80ACBf,Jarvis Synthetic Colombian Peso (jCOP),$0.00,117,
34,35,0x1d60AA1D6137Dcb1306C8A901EBd215Ca661d0cb,Wrapped Jax (WJAX),$0.00,480,
35,36,0x6b526Daf03B4C47AF2bcc5860B12151823Ff70E0,Jarvis Synthetic New Zealand Dollar (jNZD),$0.00,44,
