,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x7bb11e7f8b10e9e571e5d8eace04735fdfb2358a,Wrapped AVAX (Wormhole) (WAVAX),$0.00,274,
1,2,0xecdcb5b88f8e3c15f95c720c51c71c9e2080525d,Wrapped BNB (Wormhole) (WBNB),$0.00,8310,
2,3,0xa8d394fe7380b8ce6145d5f85e6ac22d4e91acde,BUSD Token (Wormhole) (BUSD),$0.00,3372,
3,4,0x11cd37bb86f65419713f30673a480ea33c826872,Wrapped Ether (Wormhole) (WETH),$0.00,7089,
4,5,0x9cd6746665d9557e1b9a775819625711d0693439,LUNA (Wormhole) (LUNA),$0.00,8917,
5,6,0xd93f7e271cb87c23aaa73edc008a79646d1f9912,Wrapped SOL (Wormhole) (SOL),$0.00,1745,
6,7,0x4318cb63a2b8edf2de971e2f17f77097e499459d,USD Coin (Wormhole) (USDC),$0.00,337,
7,8,0x576cf361711cd940cd9c397bb98c4c896cbd38de,USD Coin (Wormhole) (USDC),$0.00,1833,
8,9,0x9417669fbf23357d2774e9d421307bd5ea1006d2,Tether USD (Wormhole) (USDT),$0.00,119,
9,10,0x3553f861dec0257bada9f8ed268bf0d74e45e89c,USDT (Wormhole) (USDT),$0.00,670,
10,11,0xe6469ba6d2fd6130788e0ea9c0a0515900563b59,UST (Wormhole) (UST),$0.00,3518,
