,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x172370d5cd63279efa6d502dab29171933a610af,CRV (PoS) (CRV),"$717,015,417.00",35895,
1,2,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,SushiToken (PoS) (SUSHI),"$201,451,544.00",40960,
2,3,0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7,Aavegotchi GHST Token (PoS) (GHST),"$57,031,037.00",133892,
3,4,0xfbdd194376de19a88118e84e279b977f165d01b8,beefy.finance (BIFI),"$39,443,788.00",5396,
4,5,0x255707B70BF90aa112006E1b07B9AeA6De021424,TETU Reward Token (TETU),"$19,665,911.00",2386,
5,6,0x874e178a2f3f3f9d34db862453cd756e7eab0381,Gravity Finance (GFI),"$14,870,018.00",4455,
6,7,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,DEUS (DEUS),"$13,884,133.00",451,
7,8,0x4e1581f01046efdd7a1a2cdb0f82cdd7f71f2e59,IceToken (ICE),"$10,225,435.00",511,
8,9,0xd3b71117e6c1558c1553305b44988cd944e97300,YEL Token (YEL),"$1,084,027.00",3580,
9,10,0xa7305ae84519ff8be02484cda45834c4e7d13dd6,UNIFARM Token (PoS) (UFARM),"$395,509.00",836,
10,11,0xaa9654becca45b5bdfa5ac646c939c62b527d394,DinoSwap (PoS) (DINO),"$203,522.00",7855,
11,12,0x7dd3d9e1868a7da87509a601e7dbbf938c819a32,Vox.Finance (PoS) (VOX),"$95,446.00",66,
12,13,0x8f18dc399594b451eda8c5da02d0563c0b2d0f16,moonwolf.io (WOLF),"$49,797.00",19047,
13,14,0x4c4bf319237d98a30a929a96112effa8da3510eb,WaultSwap Polygon (WEXpoly),"$16,740.00",24287,
14,15,0xc8bcb58caef1be972c0b638b1dd8b0748fdc8a44,Pear Token (PEAR),"$5,882.00",4760,
15,16,0x47536f17f4ff30e64a96a7555826b8f9e66ec468,BelugaToken (BELUGA),$0.00,56,
16,17,0x0d962a1a2a27b402e4d84772dea65ac8592eb6bf,Gemstones (GMS),$0.00,230,
17,18,0x3a3df212b7aa91aa0402b9035b098891d276572b,Fish (FISH),$0.00,11455,
18,19,0xCa9e4a7617D5fdaaA49Beb8Dc8E506706324e253,Dojo Token (DOJO),$0.00,484,
19,20,0xfe1323b8819a3e5ee9a9737db2778cf3bfa30d2f,Swapman NFT (SWAPMAN),$0.00,-,
20,21,0x4c16f69302ccb511c5fac682c7626b9ef0dc126a,Polygon BUNNY Token (polyBUNNY),$0.00,6290,
21,22,0x76e63a3E7Ba1e2E61D3DA86a87479f983dE89a7E,Augury Finance (OMEN),$0.00,3019,
22,23,0x6bb45ceac714c52342ef73ec663479da35934bf7,Bone Token (BONE),$0.00,1917,
23,24,0xd0f3121a190d85de0ab6131f2bcecdbfcfb38891,PolyYeld Token (YELD),$0.00,4819,
24,25,0x90ac3fa9fcd997b168f218041de26eb01399bb55,XYELD (xYELD),$0.00,1484,
25,26,0xc3fdbadc7c795ef1d6ba111e06ff8f16a20ea539,Adamant (ADDY),$0.00,29149,
26,27,0x80244c2441779361f35803b8c711c6c8fc6054a3,Bone Token (BONE),$0.00,1652,
27,28,0xcfe2cf35d2bdde84967e67d00ad74237e234ce59,Pup Token (PUP),$0.00,890,
28,29,0x9719d867a500ef117cc201206b8ab51e794d3f82,Matic Aave interest bearing USDC (maUSDC),$0.00,2279,
29,30,0xc56d17dd519e5eb43a19c9759b5d5372115220bd,Polywolf (MOON),$0.00,1227,
30,31,0x05089c9ebffa4f0aca269e32056b1b36b37ed71b,Krill (Krill),$0.00,7001,
31,32,0x68f044B59D96ec856aC72C29Df997348c8C1fFf3,BetaPulsarToken (BPUL),$0.00,1258,
32,33,0x4a81f8796e0c6ad4877a51c86693b0de8093f2ef,Iron Finance ICE Token (ICE),$0.00,7273,
33,34,0xf5ea626334037a2cf0155d49ea6462fddc6eff19,PolygonFarm Finance (SPADE),$0.00,1961,
34,35,0x5c59d7cb794471a9633391c4927ade06b8787a90,Time Token (TIME),$0.00,904,
35,36,0xc35545b3c483075cae6e0d94697a905dc5c52627,PolyDefy (PFY),$0.00,50,
36,37,0xa5eb60ca85898f8b26e18ff7c7e43623ccba772c,CosmicSwap (COSMIC),$0.00,985,
37,38,0x98b1d7ba836a0a73d741735a309a18febeb6299c,Polycorn (YCORN),$0.00,382,
38,39,0x5f1657896b38c4761dbc5484473c7a7c845910b6,pSwampy (pSWAMP),$0.00,1457,
39,40,0x93810fe228fa8c69b08c2d8df3ec05357c00c625,ARABELLA Token (ARABELLA),$0.00,306,
40,41,0xdab35042e63e93cc8556c9bae482e5415b5ac4b1,Iris (IRIS),$0.00,764,
41,42,0xd86b5923f3ad7b585ed81b448170ae026c65ae9a,IRON Stablecoin (IRON),$0.00,7348,
42,43,0x4527d831cefc76d0e5f8699f8ff4494611a6bf31,Neptune Token (NEPTUNE),$0.00,374,
43,44,0xf4b0903774532aee5ee567c02aab681a81539e92,PolyGaj Token (GAJ),$0.00,1875,
44,45,0xc4df0e37e4ad3e5c6d1df12d3ca7feb9d2b67104,KAVIAN Token (KAVIAN),$0.00,679,
45,46,0x9a33bac266b02faff8fa566c8cb5da08820e28ba,KAVIAN L2 Token (KAVIANL2),$0.00,406,
46,47,0x9469603F3Efbcf17e4A5868d81C701BDbD222555,PolyQuokka Finance Token (QUOKK),$0.00,34594,
47,48,0xbe8dab8ce8521ecfde43a8ff8d5c6644f4dcecb7,Leo Token (LEO),$0.00,199,
48,49,0x056bdcd1d8436ae303023eade224f91825bf8e43,Cancer Token (CANCER),$0.00,249,
49,50,0x04d40befb0a3dfbf76c1b1157eb23865abdb6d0b,Coinopolis Staking Token (CST),$0.00,62,
50,51,0xd99be2ce4a09812feae4020051876091cf7ef87f,Fry (FRY),$0.00,175,
51,52,0x100a947f51fa3f1dcdf97f3ae507a72603cae63c,Hair Token (HAIR),$0.00,672,
52,53,0xd78c475133731cd54dadcb430f7aae4f03c1e660,Firebird.Finance (HOPE),$0.00,3364,
53,54,0x40038c83e459937a988b669f1159cc78d8fdad68,pQBERT (pQBERT),$0.00,901,
54,55,0x7e7ff932fab08a0af569f93ce65e7b8b23698ad8,YfDAI.finance (PoS) (Yf-DAI),$0.00,663,
55,56,0x91abdd640a952e129a67c98ca166d9a97b1aedba,Virgo Token (VIRGO),$0.00,234,
56,57,0x94424fa925fdc1d5c04f3293ba0314fdc3579d98,Karma Token (KARMA),$0.00,46,
57,58,0x1586186ad3951d7028aa7ff4c0e808e57121492b,Guppy (GUPPY),$0.00,177,
58,59,0x12bdad0abfccb9d88e9cc047f1e4cfab94947af3,Vote-escrowed Firebird.Finance (mHOPE),$0.00,216,
59,60,0x16dcb8d591bc82f1f2ab33d420b735c60fbc0be5,Float Short OHM 2x (fs2OHM),$0.00,10,
60,61,0x6735fdd28c71d17c9a26f1cbf0082358bfb622ad,Float Long OHM 2x (fl2OHM),$0.00,11,
61,62,0x1132f58810ee9ff13e97aeccd8dda688cc5eb8f4,SpaceRat (SRAT),$0.00,2843,
62,63,0xcd86152047e800d67bdf00a4c635a8b6c0e5c4c2,NACHO (NACHO),$0.00,556,
63,64,0x948d0a28b600bdbd77af4ea30e6f338167034181,NSHARE (NSHARE),$0.00,1166,
64,65,0xfc4a30f328e946ef3e727bd294a93e84c2e43c24,NBOND (NBOND),$0.00,149,
65,66,0xf5291e193aad73cac6fd8371c98804a46c6c6577,Salem Finance (SALEM),$0.00,74,
66,67,0x8258fDDF7E0477B8DfF86970813Ce5D333C88B57,Ringu (RINGU),$0.00,2180,
67,68,0xB63E54F16600b356f6d62dDd43Fca5b43d7c66fd,Parrot Egg (pPEGG),$0.00,268,
68,69,0x6fF02133867e931499bca4E38F0aA8afA651e213,Blue Parrot Egg (BPEGG),$0.00,28,
69,70,0x381785593f9bace15af908ac108b5f538155ff3e,Crox Token (CROX),$0.00,1,
70,71,0x047fd3b3d2366f9babe105ade4598e263d6c699c,Cougar Token (COUGAR),$0.00,164,
71,72,0x96e7593e376a8f75fd52ae71b7b45358ef373ae8,Guru (Guru),$0.00,3161,
72,73,0x4d84144b3f07E3E9B1B8853A86c1e3f502dceFe6,FarmX Token (FARMX),$0.00,14,
73,74,0x2340A5742579B39A7b672Af0D475A89e7a4C5174,Lucky Number Token (LCK),$0.00,65,
