,Address,Name Tag,Balance,Txn Count
0,0x0c9ba704aaf81336c592456ca0c9c7e90946a625,Poor_Rep19,0 ETH,20
1,0x809eade17f09cd31407f61ad590dcf730553dbf8,Spam Token 1,0 ETH,5
2,0x13be7adf29956b9ac451dbe158a21a61c4d3850a,Spam Token 2,0 ETH,16
3,0x742b3cea5ad428f89dc9bd0d23cf1299182917f9,Spam Token 3,0 ETH,1
4,0x73478d0db2473f19e97c28d4e9fc80e75588c067,Spam Token 4,0 ETH,81
5,0x13110813640cbe18a3b5ab6c3bfde9c0380d5b58,Spam Token 5,0 ETH,1
6,0xe3a9a924ae878cdba0f6e83f89b18cbf75efd6d5,Spam Token 6,0 ETH,1
7,0xa9fd9bed77322cff6159318cf1382797f53bb418,Spam Token 7,0 ETH,2
8,0x8ffcf8c6d7b47e8d05b062c3e5786f726fd37604,Spam Token 8,0 ETH,2
9,0xab1ef6c3abe4eb86348103dccf945a3f68cd7ef7,Spam Token 9,0 ETH,3
10,0x53de591dc05404ce1f6198516b62eb14bd563a3a,Spam Token: Deployer,0.00026254 ETH,128
