,Address,Name Tag,Balance,Txn Count
0,0xe0d02780b6874cb06704d8e26b08a89a1a969999,Lever: Deployer,0.72580231 Ether,411
1,0xd737add3db989f171058d66d4e2f588d74247b1a,Multichain Hack Alert 1000,0.00028673 Ether,89
2,0x6e9918d5ad03d73d8f1e36fb3e35c381a64cc3d1,Multichain Hack Alert 1001,0.00028848 Ether,48
3,0x4f320a3a50956e9c9292c7c3de7cc419beaad560,Multichain Hack Alert 1002,0.04396992 Ether,23
4,0x8eab84a7abae58bea081a84c740139dc81db7113,Multichain Hack Alert 1003,0.00029031 Ether,5
5,0x106ea7c98c1a92c61cc2fe5f1704dc3bf21b9e50,Multichain Hack Alert 1004,0.00029401 Ether,26
6,0x568b6d9ca30b4d1f69646597e928d03b4a987839,Multichain Hack Alert 1005,0.00031119 Ether,33
7,0x00773d1d8d8f9c6240316b40c98346e93d8ce864,Multichain Hack Alert 1006,0.00030136 Ether,29
8,0x6c2988ca4a79c420e805c275093848e4363ba49f,Multichain Hack Alert 1007,0.00034378 Ether,296
9,0x5fb383687b7a481d4f2545b66fecad48075f8285,Multichain Hack Alert 1008,0.76821049 Ether,74
10,0xa9348d317920f2a6ebd194920f6408d692379ae8,Multichain Hack Alert 1009,0.00022875 Ether,85
11,0x40ef9d43950c742b6cf76a560d7a415206a40037,Multichain Hack Alert 1010,0.00019546 Ether,56
12,0x19d37341cf927ee34abf773d2ccac8682010b13c,Multichain Hack Alert 1011,0.02761802 Ether,211
13,0x39a0df4cb847aa5877326b7c6af7ad28dcbc7b1e,Multichain Hack Alert 1012,0.00031197 Ether,91
14,0x20cef0b99baa6cacb818d0bf3b4c16f6a702eb9e,Multichain Hack Alert 1013,0.00031204 Ether,74
15,0xffd2ff35147e6b1069664a983ec4b6fa154f8cfd,Multichain Hack Alert 1014,0.00019891 Ether,42
16,0x1374fdaf0a8a47cfea889ef3dc7b586e35d667c6,Multichain Hack Alert 1015,0.00017707 Ether,21
17,0x8d700e68cb683cc52b9458dd96d87ae51150be81,Multichain Hack Alert 1016,0.00031463 Ether,8
18,0x49c365fa3916dcf1561075567ff5c6c2ed74150f,Multichain Hack Alert 1017,0.0003168 Ether,85
19,0x1e2118a80860a5c92594f5f7d56514bd38f0f0c1,Multichain Hack Alert 1018,0.00040169 Ether,122
20,0xe3e43bc4366d5643bf5a0be511cb1efbd3758d00,Multichain Hack Alert 1019,0.00032123 Ether,7
21,0x4625b8c00077750d52f77a2736d8d7a7e3d26b13,Multichain Hack Alert 1020,0.00006401 Ether,113
22,0x13997b799ce4d9e696039987c13df137144a5b17,Multichain Hack Alert 1021,0.00032247 Ether,29
23,0x6d15bffb357c523469e8f54d3ff46e2f3e570a85,Multichain Hack Alert 1022,0.00005567 Ether,700
24,0x87e7f0203285d9b0d6e817fecf0b38679fd36d8b,Multichain Hack Alert 1023,0.00032577 Ether,5
25,0xaa1779554c4088896d838ac8588c81584001c007,Multichain Hack Alert 1024,0.00771024 Ether,62
26,0xf67a922c0ece1d5b871bb02ee71f8a94411dba68,Multichain Hack Alert 1025,0.00033647 Ether,6
27,0x19ac49b8ee05a137506e11fa931dc8079d9eb2f5,Multichain Hack Alert 1026,0.00034304 Ether,3
28,0x8254de4947d325f23dbb0487f3228693406aed1a,Multichain Hack Alert 1027,0.00034626 Ether,6
29,0x77bb9d761798956fe6ffc84faf7f5ed87c77f057,Multichain Hack Alert 1028,0.0003495 Ether,22
30,0x4a2129544da5a011cb0959df30e212bd61d0bb13,Multichain Hack Alert 1029,0.00034971 Ether,46
31,0x5b8e945261e8cf7325d7610fdcb37545de011714,Multichain Hack Alert 1030,0.00035148 Ether,3
32,0xeb366adfc529030ddb479393703f6756ac9968b4,Multichain Hack Alert 1031,0.00018383 Ether,57
33,0x1e3d169be47dfad78ef20375d88182ad2bc3ceab,Multichain Hack Alert 1032,0.0003595 Ether,31
34,0x5a41b9e9f234a55be28286d9efe567c1e03b9c71,Multichain Hack Alert 1033,0.00018486 Ether,301
35,0x248f60e9df5816111e613e08a6b7deb1ec8eda4d,Multichain Hack Alert 1034,0.00036051 Ether,1091
36,0x228e093aa0685151ead3e0bf1939fd896c065ea1,Multichain Hack Alert 1035,0.06264464 Ether,208
37,0x7cffbd1521b57c1b00ba00732d9053d76eef270a,Multichain Hack Alert 1036,0.00021445 Ether,515
38,0x5e07a09a7deff84bcaea079cc7e50e4e7d63f15c,Multichain Hack Alert 1037,0.00036381 Ether,8
39,0x7e4ab7ae8e94d1da66f5e4d2ad5c709d4fec56d6,Multichain Hack Alert 1038,0.00018565 Ether,32
40,0x89fc49b243c8a8357b5bff0417d56bd59ce64c6d,Multichain Hack Alert 1039,0.00057468 Ether,294
41,0x83d3f1c4254add08b2861f05e57bbace45407e53,Multichain Hack Alert 1040,0.0452603 Ether,8
42,0xb16417c5b50d50fb93de2ae7302f8af0813c8487,Multichain Hack Alert 1041,0.00037021 Ether,27
43,0xb921c1f45493bd832d1281d7508afce5bd2273a0,Multichain Hack Alert 1042,0.00037031 Ether,6
44,0x75f4a6194ed301bbc96d83e3eca53bddabe53932,Multichain Hack Alert 1043,0.00037049 Ether,42
45,0x18f72f6be2c6c67fd97a41087415996067a53735,Multichain Hack Alert 1044,0.00037433 Ether,5
46,0xceb0b1bc98a3a10762d4fab9d9490853b58a6305,Multichain Hack Alert 1045,0.00532743 Ether,932
47,0xe374122edcd424cb6a6a7eb7cd56a9bdfd370228,Multichain Hack Alert 1046,0.00037992 Ether,14
48,0x1d754edc24d233f78862aeb07306e84489c17efd,Multichain Hack Alert 1047,0.00038374 Ether,5
49,0x99d0d51244a791da27b0fc64dde015e446767a8a,Multichain Hack Alert 1048,0.00022865 Ether,219
50,0x905ba44aac84d9191fe829e237ade71821ff30bb,Multichain Hack Alert 1049,0.00125792 Ether,411
51,0x0b66b4340bed1741dc1c32c3ea3d6373db20c50b,Multichain Hack Alert 1050,0.00039088 Ether,17
52,0xeaaeb4c2ff66e60f01041044e0c267383600d0dd,Multichain Hack Alert 1051,0.02080163 Ether,20
53,0x2e134be75b6e025b8f25cfb731c5153500cffa8c,Multichain Hack Alert 1052,0.00039469 Ether,109
54,0x3b1810582e6d81620babd4f5cdb753d6edb20701,Multichain Hack Alert 1053,0.00040437 Ether,5
55,0xf8137d98050bb9c97eacd64597563bf190ae1d5e,Multichain Hack Alert 1054,0.00035433 Ether,9
56,0xbaecd59463dcb90628ef58ace0e2cdb5a6423e2f,Multichain Hack Alert 1055,0.00041492 Ether,20
57,0xbb547ac61a6cad76b37aac667ea6ed9541daa30e,Multichain Hack Alert 1056,0.00010444 Ether,181
58,0xf3fd4d52adc5394e7e0eb2c8addf0d189201eb79,Multichain Hack Alert 1057,0.00041739 Ether,9
59,0x05f6eb818a2df17bd8dd6866c077e5f6f9bb74cc,Multichain Hack Alert 1058,0.00042089 Ether,25
