,Address,Name Tag,Balance,Txn Count
0,0x2d8304750a8ac17dc1b9a5da1c85c0a55f12c3d3,,1.05301336 Ether,2482
1,0x4a6ec3f21c89c279359265f6da74770e0e4763e8,,0.00026266 Ether,2638
2,0x5a6398a9717b4f97b5ece97c5bfc10ad2510ec20,,0.38324908 Ether,6247
3,0x71f9ccd68bf1f5f9b571f509e0765a04ca4ffad2,,2.2440435 Ether,2742
4,0x80a03dbf383c6fdd96fb95d1a24d63c7b6d02b08,,6.00565494 Ether,1720
5,0x951b6d50d07c39b0f97a7bb2f5c1e96f07a093d3,,1.34919863 Ether,7842
6,0xa53a6fe2d8ad977ad926c485343ba39f32d3a3f6,,0.20005619 Ether,3716
7,0xbb02b1b914590f69e9f1942d205f77276b4b3ca9,,1.25109544 Ether,3110
8,0xd6dbed6297b539a11f1aab7907e7df7d9ffeda7e,,0.01196327 Ether,5448
9,0xe7da19d08df73c9371080a14b8e6fdca9243e16e,,0.34125583 Ether,2229
10,0xef90986f38279ad8653b866691ca53f6c0528aa3,,0 Ether,1597
11,0x112be8010ac3ae3aac99490002555297438ac394,,0.03960296 Ether,2124
12,0x2488f090656bddb63fe3bdb506d0d109aaad93bb,,0.10006727 Ether,5311
13,0x46499275b5c4d67dfa46b92d89aada3158ea392e,,"2,667.87501957 Ether",3368
14,0x57ef012861c4937a76b5d6061be800199a2b9100,,2.81885676 Ether,20777
15,0x6dc88b231cd04dd1b1e525161162993f47140006,,7.17537115 Ether,1874
16,0x79d4d83a581716337998311d02b6ef502bda6c0d,,0.25929511 Ether,794
17,0x9224bbb4e0fbe2f2f8fab55debc41eb21fdfb804,,9.55954232 Ether,2908
18,0xa0b343ab316cbd95075a8d9797732733de845852,,0.02625081 Ether,2020
19,0xb6f795142f4d5f0cfc4961a5e034d9d7463262d3,,0.02968193 Ether,2924
20,0xcca48d53e52248030c60c45e1debfd46913f725e,,0.20629117 Ether,2672
21,0xde8f8849579f06a30c0dd3ae3d5408ebdaaabcf7,,0.03907994 Ether,1992
22,0xec40bcd40d618b56359378eaa3203b59b233c013,,0.00068499 Ether,2472
23,0x24435205eaf97df22b6f2a2463ba039497596ba4,,0.74362735 Ether,3383
24,0x4297e08ee25a9eed190d4840c490bbf2332f22b0,,0.00109191 Ether,4180
25,0x57757e3d981446d585af0d9ae4d7df6d64647806,,"25,030.44707737 Ether",1552
26,0x6cfac3cf77a359d7ce28c14f2d53de48981e0f04,,54.31903876 Ether,1508
27,0x76d2ddce6b781e66c4b184c82fbf4f94346cfb0d,,0.08579472 Ether,1485
28,0x8f70b3ac45a6896532fb90b992d5b7827ba88d3c,,5.17932039 Ether,5380
29,0x99391c6f4d33ddac56e0856db4ef0013851031bd,,4.09621559 Ether,6454
30,0xaf616daba40f81b75af5373294d4dbe29dd0e0f6,,1.64492609 Ether,4568
31,0xc62785b58724d744b843e479d76d47897e61ca7e,,0.0968405 Ether,2752
32,0xda89e82f4a41c9a71e06d23b9f8e84139cdb960a,,0.29476271 Ether,1345
33,0xfe56a0dbdad44dd14e4d560632cc842c8a13642b,,3.96443941 Ether,73480
34,0x10ccd4136471c7c266a9fc4569622989fb4cab99,,0.50854049 Ether,3485
35,0x1da75fb0da32653fdab9ddecdb42f2ed61f8a28b,,0.35588072 Ether,3580
36,0x3a70e8c00f3bcf3eb845b6b6928aba92b465c183,,0.49635986 Ether,4080
37,0x554b1bd47b7d180844175ca4635880da8a3c70b9,,1.60515884 Ether,3125
38,0x67c0fc4b0490ab7e76c08c2bbd30fac0059bbc7a,,0.02364446 Ether,10315
39,0x76b687cf4e5a4e73fa3950d6cc642bcc64e40b88,,0.35601111 Ether,986
40,0x98dc82470cd96449eff7a21837644e8a0b83f40e,,2.67521512 Ether,3754
41,0xad4489f64a8be791294116d3e99d2721c7f0a72a,,0.04670151 Ether,2872
42,0xc31db2e710192791b65de43d4b84886a6d770322,,6.40809797 Ether,3105
43,0xd84e11bee5d555ccd905817cb8cbbd5b6e6c4f0d,,10.34750995 Ether,3613
44,0xe993fb4df8a4737f48992334f549bb92b2ff7048,,0.0001528 Ether,4535
45,0xf486d56cce70c481b3455af901fcc4f03fee8107,,36.40749072 Ether,2872
46,0x0aaf72da643570da1bf76e8b3063c3f378b3d3d4,,0.08498203 Ether,1920
47,0xebdb626c95a25f4e304336b1adcad0521a1bdca1,Defiprime : Donate,39.2598004 Ether,1443
48,0x14ce500a86f1e3ace039571e657783e069643617,Sybil Delegate: leifengcrypto,0.97764989 Ether,4540
49,0x8d07d225a769b7af3a923481e1fdf49180e6a265,Sybil Delegate: MonetSupply,1.0764081 Ether,2452
