,Address,Name Tag,Balance,Txn Count
0,0xa069e33994dcc24928d99f4bbeda83aaef00b5f3,yearn: Strategy Curve YCRV,0 Ether,376
1,0x93a62da5a14c80f265dabc077fcee437b1a0efde,yearn: Treasury Vault,0 Ether,71
2,0x29e240cfd7946ba20895a7a02edb25c210f9f324,yearn: yaLINK Vault,0 Ether,9759
3,0x04bc0ab673d88ae9dbc9da2380cb6b79c4bca9ae,yearn: yBUSD Token,0 Ether,223
4,0x5dbcf33d8c2e976c6b560249878e6f1491bca25c,yearn: yCRV Vault,0 Ether,39024
5,0x975f1bc238303593efab00d63cf0fc5f519a8de0,yearn: yCurve Zap In,0 Ether,291
6,0xed03415e5705c5abbf8e94c491b715df526cad55,yearn: yCurve Zap Out,0 Ether,104
7,0x2c3a2558e9b91e893e53bce94de3457a29f6b262,yearn: yCurve Zap Swap,0 Ether,57
8,0x16de59092dae5ccf4a1e6439d611fd0653f0bd01,yearn: yDAI Token,0.08922458 Ether,11317
9,0xf61718057901f84c4eec4339ef8f0d86d2b45600,yearn: ySUSD Token,0.09856551 Ether,2264
10,0x73a052500105205d34daf004eab301916da8190f,yearn: yTUSD Token,0 Ether,3674
11,0xd6ad7a6750a7593e092a9b218d66c0a814a3436e,yearn: yUSDC Token,0.12 Ether,5985
12,0x597ad1e0c13bfe8025993d9e79c69e1c0233522e,yearn: yUSDC Vault,0 Ether,8888
13,0x83f798e925bcd4017eb265844fddabb448f1707d,yearn: yUSDT Token,0 Ether,3619
14,0xba2e7fed597fd0e3e70f5130bcdbbfe06bb94fe1,yearn: yYFI Vault,0 Ether,14827
15,0x033e52f513f9b98e129381c6708f9faa2dee5db5,Ygov.finance: Balancer,0 Ether,8458
16,0xb01419e74d8a2abb1bbad82925b19c36c191a701,Ygov.finance: Fee Rewards,0 Ether,3137
17,0x3a22df48d84957f907e67f4313e3d43179040d6e,Ygov.finance: Governance,0 Ether,13763
18,0x0001fb050fe7312791bf6475b96569d83f695c9f,Ygov.finance: yearn,0 Ether,20502
19,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,Ygov.finance: YFI Token,0 Ether,609456
