,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0x9f8F72...C3A579A2,Maker  (MKR),"$631,434,789.00",93167,https://makerdao.com/,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
1,2,0xE41d24...4699F498,ZRX  (ZRX),"$246,309,524.00",196642,https://0x.org/,0xe41d2489571d322189246dafa5ebde1f4699f498
2,3,0x8f8221...c37a938a,Request  (REQ),"$86,592,924.00",42732,https://request.network/,0x8f8221afbb33998d8584a2b05749ba73c37a938a
3,4,0x221657...DfF5C9bB,Reputation  (REPv2),"$77,037,255.00",10453,https://www.augur.net/,0x221657776846890989a759ba2973e427dff5c9bb
4,5,0xec6700...47C91892,Melon Token  (MLN),"$36,552,933.00",7189,https://enzyme.finance/,0xec67005c4e498ec7f55e092bd1d35cbc47c91892
5,6,0x701C24...3b23Fe1D,OpenANX  (OAX),"$12,302,213.00",6368,https://www.openanx.org,0x701c244b988a513c945973defa05de933b23fe1d
6,7,0xB3319f...7266d407,Compound 0x  (cZRX),"$2,232,737.00",3304,https://compound.finance/,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407
7,8,0x4de257...E4A34405,Lendroid Sup...  (LST),$0.00,18657,https://lendroid.com/,0x4de2573e27E648607B50e1Cfff921A33E4A34405
8,9,0xf5ED2D...adC41b51,The Ocean To...  (OCEAN),$0.00,11915,https://theocean.trade/,0xf5ed2dc77f0d1ea7f106ecbd1850e406adc41b51
9,10,0x1c74cF...c3f2c6B9,bZx Protocol...  (BZRX),$0.00,606,https://bzx.network/,0x1c74cff0376fb4031cd7492cd6db2d66c3f2c6b9
10,11,0x6531f1...330B4e53,TIME  (TIME),$0.00,4025,https://chrono.tech/,0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53
