,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0x0D8775...0d2887EF,BAT  (BAT),"$444,467,938.00",464453,https://basicattentiontoken.org/,0x0d8775f648430679a709e98d2b0cb6250d2887ef
1,2,0xcfcEcF...f1Ccd22A,Adshares  (ADS),"$38,042,408.00",1446,https://adshares.net/,0xcfcecfe2bd2fed07a9145222e8a7ad9cf1ccd22a
2,3,0xB6c3DC...767992F4,Advertise Co...  (ADCO),"$16,072,259.00",156,https://advertisecoin.com/,0xb6c3dc857845a713d3531cea5ac546f6767992f4
3,4,0xF4d861...f0b50EB3,Fractal Prot...  (FCL),"$1,989,213.00",11219,https://protocol.fractal.id/,0xf4d861575ecc9493420a3f5a14f85b13f0b50eb3
4,5,0x00059A...0fE307b6,AmonD  (AMON),"$706,241.00",1697,https://ados.foundation/,0x00059ae69c1622a7542edc15e8d17b060fe307b6
5,6,0xEC491c...0927A72A,AB-CHAIN RTB...  (RTB),"$203,576.00",1715,https://ab-chain.com/,0xec491c1088eae992b7a214efb0a266ad0927a72a
6,7,0x84F7c4...e2Cc602F,Bigbom  (BBO),"$111,781.00",3122,https://bigbom.com/,0x84f7c44b6fed1080f647e354d552595be2cc602f
7,8,0xD0D6D6...bAe167dD,AdToken  (ADT),"$106,533.00",1957,https://metax.io/en/,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd
8,9,0x1B957D...bA0CeCFa,HOQU Token  (HQX),"$100,789.00",18769,https://www.hoqu.io/,0x1b957dc4aefeed3b4a2351a6a6d5cbfbba0cecfa
9,10,0xE2fe5E...b9A18E97,BITCOMO  (BM),"$6,693.00",5055,https://bitcomo.com/,0xe2fe5e7e206e7b46cad6a5146320e5b4b9a18e97
10,11,0x461851...971cc688,Kind Ads Tok...  (KIND),"$4,740.00",4816,https://kindads.io/,0x4618519de4c304f3444ffa7f812dddc2971cc688
11,12,0x6704B6...0e2190E1,UBEX Token  (UBEX),"$4,351.00",15363,https://www.ubex.com/,0x6704b673c70de9bf74c8fba4b4bd748f0e2190e1
12,13,0xaBbBB6...6eD6c5ab,DATx  (DATx),"$2,415.00",58329,https://www.datx.co/,0xabbbb6447b68ffd6141da77c18c7b5876ed6c5ab
13,14,0x347C09...606b6aCE,JOINT  (JOINT),"$1,137.00",708,https://jointventures.io/,0x347c099f110ca6761779329d2879957b606b6ace
14,15,0x9235bD...555b212F,Feellike  (FLL),$536.00,142,https://feelliketimetraveler.com/,0x9235bda06b8807161b8fbb1e102cb654555b212f
15,16,0x608f00...d1CA3E4e,CRAD CASH  (CRAD),$0.00,8564,https://cryptoads.exchange/,0x608f006b6813f97097372d0d31fb0f11d1ca3e4e
16,17,0xEc1a71...7bb2b88C,ENTONE  (ENTONE),$0.00,73,https://entone.io/,0xEc1a718D1A6F8F8d94eCEc6fe91465697bb2b88C
17,18,0x890Cf6...66D24756,Viralclick N...  (VCN),$0.00,101,https://viralclick.network/,0x890cf6bd914144c50ca753b88b729c2566d24756
18,19,0xADE00C...cD12B7c3,AdEx Network  (ADX),$0.00,3310,https://www.adex.network/,0xADE00C28244d5CE17D72E40330B1c318cD12B7c3
19,20,0x4016d1...47A7B3D6,QuotientCoin  (QUOT),$0.00,7,https://www.quotient.com/,0x4016d1815bdfe2d47958f894c2b97a1647a7b3d6
20,21,0x258B53...351F113f,LockedCoin  (LdC),$0.00,3,https://www.epigeon.org/,0x258B53983EE9Bd315a281382aa4c1f84351F113f
21,22,0xD27D76...3D22ebF4,Benepit  (BNP),$0.00,2353,https://www.benepit.io,0xd27d76a1ba55ce5c0291ccd04febbe793d22ebf4
22,23,0xCE0Cd5...aa912dbC,MMS  (MMS),$0.00,30,https://mms-digital.online/,0xce0cd513a069e8ec9cb625fcdf6d5f29aa912dbc
23,24,0xe298f7...1a44ef75,DELGOPlus  (DELGO),$0.00,2285,https://www.delgoplus.com/,0xe298f7cce27dcd2671968022ac96d0af1a44ef75
24,25,0x9CDa8A...0812e054,TaTaTu  (TTU),$0.00,2674,http://tatatutoken.io/,0x9cda8a60dd5afa156c95bd974428d91a0812e054
25,26,0x92B914...32fc44d1,EnkronosToke...  (ENK),$0.00,7559,https://apps.enkronos.com/,0x92b914f1ddcbb1d117a718e83c9ed7eb32fc44d1
26,27,0xda8B3c...4AA46878,Cryptosday T...  (CRDY),$0.00,9,https://cryptosday.com/,0xda8b3cad91271ff10fdf5f56e2313e264aa46878
27,28,0x70A639...6922e645,Wrapped Smar...  (WSATT),$0.00,108,https://satt-token.com/,0x70A6395650b47D94A77dE4cFEDF9629f6922e645
