,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0x9534ad...989D136e,PYR Token  (PYR),"$99,146,490.00",6808,https://vulcanforged.com/,0x9534ad65fb398e27ac8f4251dae1780b989d136e
1,2,0xBBc2AE...74093505,@EthernityCh...  (ERN),"$38,122,119.00",29637,https://ethernity.io/,0xbbc2ae13b23d715c30720f079fcd9b4a74093505
2,3,0x9469D0...535ec483,Darwinia Net...  (RING),"$7,419,999.00",8807,https://darwinia.network/,0x9469d013805bffb7d3debe5e7839237e535ec483
3,4,0x1796ae...E301D0b2,Polkamon  (PMON),"$2,300,119.00",15893,http://polychainmonsters.com/,0x1796ae0b0fa4862485106a0de9b654efe301d0b2
4,5,0x20a8CE...D4Ebf03a,DinoX Coin  (DNXC),"$1,094,229.00",1610,https://dinox.io/,0x20a8cec5fffea65be7122bcab2ffe32ed4ebf03a
5,6,0x7B00aE...5Baf7b6B,Spheroid SPA...  (SPACE),"$515,542.00",-,https://spheroiduniverse.io/,0x7b00ae36c7485b678fe945c2dd9349eb5baf7b6b
6,7,0x327673...f30Dc8AF,Lympo Market...  (LMT),"$109,577.00",3227,https://lympo.io/lmt/,0x327673ae6b33bd3d90f0096870059994f30dc8af
7,8,0x14Da7b...68e2E9AF,Blockchain C...  (BCUG),"$41,036.00",2796,https://www.blockchaincuties.finance/,0x14da7b27b2e0fedefe0a664118b0c9bc68e2e9af
8,9,0x30B1eF...39cc0602,Cargo Gems  (GEM),"$32,297.00",559,https://gems.cargo.build/,0x30B1eFB052205E6CA3c4888C3C50C5b339cc0602
9,10,0x7e2918...Ad23df9e,Unifty  (NIF),"$23,928.00",1684,https://www.unifty.com/,0x7e291890B01E5181f7ecC98D79ffBe12Ad23df9e
10,11,0xF6eA0E...4CABC49F,FOTO  (FOTO),"$8,777.00",1170,https://uniqueone.photo/,0xf6ea0e60cee427b90aa36f327ee61d1d4cabc49f
11,12,0xB4F749...1b32d4A4,Only Graded ...  (OGUC),$0.00,6029,http://onlygradedcoin.com/,0xb4f74994fcbd60e1bc3603b9a33069ea1b32d4a4
12,13,0xF38d6B...3C6C4Ea6,PixelGlyphs  (PxG),$0.00,-,https://www.pixelglyphs.io/,0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6
13,14,0x5f9c96...5861Bd65,CryptoBrawle...  (BRAWLE...),$0.00,-,https://cryptobrawle.rs/,0x5f9c963ab43F07B6bf6811AE92873e6d5861Bd65
14,15,0xC70Be5...8b5c3bF0,Mythereum Ca...  (CARD),$0.00,856,https://www.mythereum.io/,0xc70be5b7c19529ef642d16c10dfe91c58b5c3bf0
15,16,0xdCfd0a...a91847da,Dapes Floss ...  (DAPESF...),$0.00,-,https://www.crypartists.com/dapes_floss_club.html,0xdcfd0a6a5d36ec1835ca966ebfd647b4a91847da
16,17,0xB5943c...04994dAF,TUGZ  (TUGZ),$0.00,101,https://pulltherug.finance/,0xb5943c96b28570d63512dda2069045b304994daf
17,18,0x14C429...Aa9cc7b6,CryptoServal...  (CSG),$0.00,-,https://cryptoserval.io,0x14c4293d7e7325cec8c52cea3df37d91aa9cc7b6
18,19,0x611060...Faefa9F7,MEMECASH Col...  (MCHC),$0.00,-,https://buymeme.cash/,0x6110604b8bfec3f3e97231cd1ed36b16faefa9f7
19,20,0x67cBBb...9f5f6D55,CryptoSpells  (CSPL),$0.00,-,https://cryptospells.jp/,0x67cbbb366a51fff9ad869d027e496ba49f5f6d55
20,21,0x963c7d...E936895E,CryptoBrokeC...  (CBC),$0.00,-,https://cryptobroke.club/,0x963c7d8063d4ab33e1a4f95db9fb50e8e936895e
21,22,0xf76c5d...38fA79bd,the_coin by ...  (TCTT0),$0.00,-,https://takenstheorem.medium.com/the-coin-f66bc3bf...,0xf76c5d925b27a63a3745a6b787664a7f38fa79bd
22,23,0xA8c8d8...9AA93df4,NonFungiBurl...  (NFB),$0.00,-,https://www.nonfungiburls.com/,0xa8c8d865af8ffc093cb1de1b654d6c6a9aa93df4
23,24,0x71C118...CEea0BD5,Chibi Fighte...  (CBF),$0.00,981,https://chibifighters.io/,0x71c118b00759b0851785642541ceb0f4ceea0bd5
24,25,0x9B45C9...b9C39c30,NFT Concerts...  (NFTCPT),$0.00,-,https://nftconcerts.com/,0x9b45c979d1ffe99aae1aa5a9b27888e6b9c39c30
25,26,0x34037A...dccD130A,Drippies™  (Drippi...),$0.00,-,https://drippieverse.space/,0x34037a293ffb6e29057ea7f36a453a39dccd130a
