,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0x6f2596...A68aa161,HuobiToken  (HT),"$850,903,510.00",51786,https://www.huobipro.com/,0x6f259637dcd74c767781e37bc6133cd6a68aa161
1,2,0x476c5E...C15be0fF,Serum  (SRM),"$118,734,614.00",10090,https://projectserum.com/,0x476c5E26a75bd202a9683ffD34359C0CC15be0fF
2,3,0xcB84d7...B89abc6e,VEGA  (VEGA),"$53,588,351.00",3832,https://vega.xyz/,0xcb84d72e61e383767c4dfeb2d8ff7f4fb89abc6e
3,4,0xDE1E70...12262DA0,DEI  (DEI),"$39,889,403.00",46,https://deus.finance/,0xde1e704dae0b4051e80dabb26ab6ad6c12262da0
4,5,0xcca0c9...4FdF61cA,BitMax token  (BTMX),"$36,005,575.00",742,https://bitmax.io/,0xcca0c9c383076649604eE31b20248BC04FdF61cA
5,6,0x871bae...CD34837d,3X Long Ethe...  (ETHBUL...),"$614,341.00",1420,https://ftx.com/tokens/ETHBULL,0x871baed4088b863fd6407159f3672d70cd34837d
6,7,0xaB37e1...dAa7557E,lien  (LIEN),"$183,075.00",1436,https://lien.finance/,0xaB37e1358b639Fd877f015027Bb62d3ddAa7557E
7,8,0xc66608...2153eC09,DigitexFutur...  (DGTX),"$21,609.00",14732,https://digitex.io/,0xc666081073E8DfF8D3d1c2292A29aE1A2153eC09
8,9,0x752Efa...a75EF1e4,CompliFi  (COMFI),"$15,459.00",848,https://compli.fi/,0x752Efadc0a7E05ad1BCCcDA22c141D01a75EF1e4
9,10,0x016ee7...233b3CFa,3X Short Bit...  (BEAR),$0.00,1368,https://ftx.com/tokens/BEAR,0x016ee7373248a80bde1fd6baa001311d233b3cfa
10,11,0x2f5e2c...950130c8,3X Short Eth...  (ETHBEA...),$0.00,643,https://ftx.com/tokens/ETHBEAR,0x2f5e2c9002c058c063d21a06b6cabb50950130c8
11,12,0x974c98...25682e80,3X Long Ethe...  (ETCBUL...),$0.00,25,https://ftx.com/tokens/ETCBULL,0x974c98Bc2e82FA18de92B7e697A1D9BD25682e80
12,13,0x584936...93814dAd,3X Long Algo...  (ALGOBU...),$0.00,144,https://ftx.com/tokens/ALGOBULL,0x584936357d68f5143f12e2e64f0089db93814dad
13,14,0xAeC654...1A695F22,Phoenix Toke...  (PHX),$0.00,1208,https://www.phx.finance/,0xaec65404ddc3af3c897ad89571d5772c1a695f22
14,15,0x3d3dd6...114E12D5,3X Short EOS...  (EOSBEA...),$0.00,74,https://ftx.com/tokens/EOSBEAR,0x3d3dd61b0f9a558759a21da42166042b114e12d5
15,16,0x50D1c9...9355a4c9,FTT  (FTX To...),$0.00,26549,https://ftx.com/,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
16,17,0x68eb95...23240E94,3X Long Bitc...  (BULL),$0.00,1947,https://ftx.com/tokens/BULL,0x68eb95dc9934e19b86687a10df8e364423240e94
17,18,0x8aF785...5CC67Bc4,3X Long OKB ...  (OKBBUL...),$0.00,3,https://ftx.com/tokens/OKBBULL,0x8aF785687ee8D75114B028997c9ca36b5CC67Bc4
18,19,0x520d25...66a8EfFb,Delphi Curve...  (dsUSD),$0.00,266,https://akropolis.io/,0x520d25b08080296Db66fd9F268AE279b66a8EfFb
19,20,0x2fdF40...8b03E5a8,MCS  (MCS),$0.00,542,https://mcs.io,0x2fdf40c484b1bd6f1c214acac737fedc8b03e5a8
20,21,0xe875c6...A6af5c64,Pi Futures  (Pi),$0.00,2786,https://pifutures.org/,0xe875c61d4721424A6988E5fA2dFB8d6CA6af5c64
21,22,0x27c1bA...80b7F187,3X Long XRP ...  (XRPBUL...),$0.00,658,https://ftx.com/tokens/XRPBULL,0x27c1ba4f85b8dc1c150157816623a6ce80b7f187
22,23,0xA340f0...0160F0b6,3X Short Eth...  (ETCBEA...),$0.00,15,https://ftx.com/tokens/MATICBEAR,0xA340f0937a8c00DB11C83Cc16CEC12310160F0b6
23,24,0x75F003...1bA5182C,3X Long Cosm...  (ATOMBU...),$0.00,30,https://ftx.com/tokens/ATOMBULL,0x75F0038B8fbfCCAFe2aB9a51431658871bA5182C
24,25,0x8367Af...558e67Bb,Delphi Curve...  (dBUSD),$0.00,86,https://akropolis.io/,0x8367af78444c5b57bc1cf38ded331d03558e67bb
25,26,0xb14036...f15D2F92,TokenExchang...  (TES),$0.00,3,https://tes-token.com/,0xb14036aa3ce5014f6751d33611e2f47df15d2f92
26,27,0x94FC59...b493c6E6,3X Short XRP...  (XRPBEA...),$0.00,153,https://ftx.com/tokens/XRPBEAR,0x94fc5934cf5970e944a67de806eeb5a4b493c6e6
27,28,0x057FB1...23e54107,3X Short Alg...  (ALGOBE...),$0.00,32,https://ftx.com/tokens/ALGOBEAR,0x057fb10e3fec001a40e6b75d3a30b99e23e54107
