,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0x7Ddc52...0f421989,GoMining Tok...  (GMT),"$47,176,825.00",8944,https://token.gomining.com/,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989
1,2,0x554FFc...8d4e067D,ZMINE Token  (ZMN),"$1,244,279.00",1186,https://www.zmine.com,0x554ffc77f4251a9fb3c0e3590a6a205f8d4e067d
2,3,0x1e797C...5DfEFE40,BCDN  (BCDN),"$138,713.00",33231,http://www.blockcdn.org/index_en.html,0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40
3,4,0x84bA4a...d179a169,Method  (MTHD),"$79,458.00",1361,https://www.methodfi.co/,0x84ba4aecfde39d69686a841bab434c32d179a169
4,5,0xC16b54...3e357cA6,ICE ROCK MIN...  (ROCK2),"$55,946.00",6398,https://icerockmining.io/,0xC16b542ff490e01fcc0DC58a60e1EFdc3e357cA6
5,6,0x146D8D...Af180Fde,Mobile Integ...  (MIB),"$37,533.00",7379,https://www.mibcoin.io/,0x146d8d942048ad517479c9bab1788712af180fde
6,7,0x26946a...482C9Eb1,BitcoinSoV  (BSOV),"$31,408.00",1071,https://www.btcsov.com/,0x26946ada5ecb57f3a1f91605050ce45c482c9eb1
7,8,0x68909e...54Ef65Bb,EvenCoin  (EVN),"$7,707.00",2698,http://www.evencoin.io/,0x68909e586eeac8f47315e84b4c9788dd54ef65bb
8,9,0x241bA6...3a84a324,4NEW  (KWATT),"$4,457.00",7674,https://www.4new.io/,0x241ba672574a78a3a604cdd0a94429a73a84a324
9,10,0x7b2dF1...c93B320C,Archetypal N...  (ACTP),"$3,381.00",5992,https://archetypal.network/,0x7b2df125567815ac9b57da04b620f50bc93b320c
10,11,0x2942E3...3a76bbC6,EHash Token  (EHASH),$0.00,135,https://ehash.co/,0x2942e3b38e33123965bfbc21e802be943a76bbc6
11,12,0xD0Df51...a8d15A4d,TheHashSpeed  (THS),$0.00,431,https://thehashspeed.com/,0xD0Df51CeC800D1F8045722377f6faceba8d15A4d
12,13,0xc761c8...0C098AD1,Sun Money To...  (SMT),$0.00,1731,https://www.sunmoney.solar/,0xc761c8dc05ae52a8a785665e528ddbb00c098ad1
13,14,0x8788eA...92eB4ecC,Green mining...  (GMMT),$0.00,9,https://gmmt.finance/,0x8788eA1D181C872fbB5c376f3DC7B95a92eB4ecC
14,15,0xd69834...3BB256c2,Xenium  (XENM),$0.00,142,https://www.veritasmining.co/,0xd69834f67b2f5a760617cc9a9bf5ae3a3bb256c2
15,16,0x20c187...99ed70fF,MinedBlock T...  (MBTX),$0.00,136,https://www.minedblock.io/,0x20c187414fa2e2212aad227223fe323499ed70ff
16,17,0x552fDc...12A9A37c,Render It Co...  (RNDIT),$0.00,10,https://renderitcoin.eu/,0x552fdc8820e46308d2a5a5705c83a71412a9a37c
17,18,0x7563fB...2d77cb1D,HashByte  (HSB),$0.00,159,https://tge.hashbyte.io/,0x7563fb1cf29a9cba24bdbb356fefdea82d77cb1d
18,19,0xF20328...11eE8021,AGA Carbon C...  (AGAc),$0.00,7,https://agatoken.com/,0xF2032813Aa3c8feEf7973e44A92E68ab11eE8021
19,20,0x5f6E7f...D6A4EA50,Artemine  (ARTE),$0.00,3090,https://www.artemine.org/,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50
20,21,0x93fb73...D1b39F71,Doge Hashrat...  (DOGEHR),$0.00,4,https://www.dogehashrate.com/,0x93fb731883787e36dac7d86d500725e1d1b39f71
21,22,0x70504E...c03350B9,SILK  (SILK),$0.00,18,https://silkroadmining.io/,0x70504eeed81fa1d75c84cf83c67e9f8cc03350b9
22,23,0x8D8129...aed4BA58,MineBee  (MB),$0.00,1114,https://minebee.io/,0x8d8129963291740dddd917ab01af18c7aed4ba58
23,24,0x525794...cC052804,12Ships  (TSHP),$0.00,7670,http://www.12ships.com/,0x525794473f7ab5715c81d06d10f52d11cc052804
24,25,0x1a1f2e...e19fF556,EDAC  (EDAC),$0.00,11,https://edac.io/,0x1a1f2e827f9d35fd3b599ac253b33cb6e19ff556
25,26,0x956cDA...cc273f7F,Bitre Mining  (BTGN),$0.00,1437,https://bitremining.com/,0x956cdac781389d259de92e427ecd86e1cc273f7f
26,27,0x85ed0a...4691e38E,Hostero Mine...  (MNR),$0.00,-,https://www.hostero.eu/,0x85ed0aa9e6f025401de93078c17dd83f4691e38e
27,28,0x2D153f...D0bF93dA,IdealCoin  (IDEAL),$0.00,9387,https://idealcoin.io/,0x2d153f2adccbe9364f9e4ed5843308abd0bf93da
28,29,0xB4a677...B1ACe357,THENODE  (THE),$0.00,983,https://the-node.foundation/,0xB4a677B0E363c3815d46326954a4E4d2B1ACe357
29,30,0x86a630...3FDBBFF8,Hodler Minin...  (HDLRE),$0.00,13,https://hodlermining.com/,0x86a63063b3a60652fb070f23cbb4a9833fdbbff8
30,31,0x416935...5B398ebf,Cryptonex (C...  (CNX),$0.00,10935,https://cryptonex.org/,0x416935c684686877e3931fe8d766cafc5b398ebf
31,32,0xd9A680...9Dfe8DF3,Nova Mining ...  (NMT),$0.00,174,https://novadefi.com/,0xd9A6803f41A006CBf389f21e55D7A6079Dfe8DF3
32,33,0x54559a...bB0F48Ed,DaDa  (DADA),$0.00,68,https://dd.finance/,0x54559ad7ec464af2fc360b9405412ec8bb0f48ed
33,34,0xAeDB08...caB63fEb,Omniunit Cas...  (OMCH),$0.00,65,https://www.omniunit.info/,0xaedb08ffbda65c9843875669fbcb544bcab63feb
34,35,0x1A0c31...7db13509,Hash Power T...  (HPC),$0.00,142968,http://hashpower.vip/,0x1a0c31837edb132a9312841b9527e6307db13509
35,36,0x897Abf...56659517,Arteon  (ARTEON),$0.00,396,https://arteon.org/,0x897Abf83f0C44b86cb67ec56c006c00d56659517
36,37,0x89aBE0...5304bD80,smart-mining  (SMT),$0.00,3,https://smart-mining.io/,0x89abe09fd87559ea272df627e38156705304bd80
37,38,0x3EA00D...E41Ff33f,RX-Mining To...  (RXG),$0.00,1,https://ruixing-mining.com/,0x3ea00dc930fc3dedce715b9a63ef5177e41ff33f
38,39,0xd780Ae...d97129d0,Envion  (EVN),$0.00,33295,https://www.envion.org/,0xd780ae2bf04cd96e577d3d014762f831d97129d0
39,40,0xF5673c...E847C74F,Pieta  (PITC),$0.00,17,https://pieta.network/,0xf5673c0ad28ca6a0064670ce1fe2a73ce847c74f
40,41,0x388226...09B0A955,LITHERIUM  (LITH),$0.00,894,https://my-lith.com/,0x388226dafee360055d725003d8ca2e7b09b0a955
41,42,0xEAE25f...31F79C19,11:11 Coin  (11:11),$0.00,157,https://alltra.world/,0xEAE25fa9d99897E9D748dfBC36e073f131F79C19
42,43,0x1452Db...a51B5b15,UniqCoin  (UNIQ),$0.00,26,http://www.uniqinternational.com/,0x1452dbfcff5aa0ba612b74876a025750a51b5b15
43,44,0x1D621C...5995a852,EraCoin Toke...  (ERCT),$0.00,7,https://eracoin.info/,0x1d621c91a41efcfacb651494f1c9a8b45995a852
44,45,0x5D0BE1...a60342eA,Perfect Mone...  (PMT),$0.00,39,https://pmt.cash/,0x5D0BE1e7CA540B007d89Bbe0F56F2FA6a60342eA
45,46,0x42b91f...f0A2A366,Mineable  ($MNB),$0.00,4,https://mineable.io/,0x42b91f1d05afea671a2da3c780eda2abf0a2a366
46,47,0xeDbcC0...fdefCb86,Hashtrust  (HTX),$0.00,2097,https://hashtrust.io/,0xedbcc06b603ea1f512720a4073a62cc4fdefcb86
47,48,0x426CA1...96e3d0E0,Minereum  (MNE),$0.00,1199331,http://minereum.com,0x426CA1eA2406c07d75Db9585F22781c096e3d0E0
48,49,0xbD434a...d033B8c4,GIX Coin  (GIX),$0.00,363,https://goldfinx.com/,0xbd434a09191d401da3283a5545bb3515d033b8c4
49,50,0x607910...5ac5cC3F,STARCASH  (STCH),$0.00,2,https://star.cash/,0x6079101FD40aBed73F88305254FE67d15ac5cC3F
50,51,0x91a776...d76d3CCD,SG20  (SG20),$0.00,32,https://sg20token.com/,0x91a7769aFCf796A3c8fFF879ed80b10dd76d3CCD
51,52,0x964291...E3d0B375,Intelligent ...  (IM),$0.00,210,https://im.farm/,0x964291d2d0a7e3477a8a06ee745f3cd8e3d0b375
52,53,0x516E54...2d08d5DE,Ormeus Coin  (ORME),$0.00,147215,http://ormeuscoin.com/,0x516e5436bafdc11083654de7bb9b95382d08d5de
53,54,0xC0c252...eDc0fa6E,MPLE  (MPLE),$0.00,1,http://www.mple.io/,0xc0c25245dcb2ee51594c4fa908b18dc4edc0fa6e
54,55,0xa66Daa...F5f95213,HuobiPoolTok...  (HPT),$0.00,1588,https://www.huobipool.com/,0xa66daa57432024023db65477ba87d4e7f5f95213
55,56,0xcce63f...8A6AA5bD,Bitriver  (BTR),$0.00,14,https://bitriver.farm/en/,0xcce63fd31e9053c110c74cebc37c8e358a6aa5bd
56,57,0x501262...CDDB0C78,Mithril Ore  (MORE),$0.00,54,http://www.mithrilore.io/,0x501262281b2ba043e2fbf14904980689cddb0c78
57,58,0xc0F172...f88b0809,SWTCoin  (SWAT),$0.00,1873,http://www.swatcoin.network/,0xc0f1728d9513efc316d0e93a0758c992f88b0809
58,59,0x7a5102...e42F43aB,PairX Token  (PAIRX),$0.00,135,https://pairx.finance/,0x7a51028299ae19b4c56bf8d66b42fd53e42f43ab
59,60,0xBa7DCB...0dFb31b0,Apollo18  (A18),$0.00,98,https://apollo18.co.in/,0xba7dcba2ade319bc772db4df75a76ba00dfb31b0
60,61,0xEbeD4f...28a4DAca,VENUS  (VENUS),$0.00,113,https://venusenergy.io/,0xebed4ff9fe34413db8fc8294556bbd1528a4daca
61,62,0x8E766F...A09b0439,Maximine Coi...  (MXM),$0.00,170654,https://maximine.io/,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439
62,63,0x7BB46c...77B89e5a,JZC Miners  (JZC),$0.00,32,https://jznation.com/,0x7bb46c33a972349ef48e7545cac068fb77b89e5a
63,64,0x80Ba76...22A853dF,Mooney  (MOO),$0.00,315,https://www.mooney.cc/,0x80ba768f7e1bfbe659d8c3c96d44126b22a853df
64,65,0xA62cE5...21002D64,SCAVO Token  (SCAVO),$0.00,3928,https://scavo.farm/,0xa62ce5f4175ba550440171ef809197ee21002d64
65,66,0x35b087...ac5C1082,EminerToken  (EM),$0.00,3005,https://eminer.pro/#/,0x35b08722aa26be119c1608029ccbc976ac5c1082
66,67,0xce9e84...D27E32b3,TLS Token  (TLS),$0.00,4600,https://tlsgroup.io/,0xce9e84a26ddb9e2283de164f7ed595e0d27e32b3
67,68,0x589159...4f026f0e,JP Gold Coin  (JPGC),$0.00,180,https://jpgoldcoin.com/,0x5891599664ed15c6e88041b4f5bc08594f026f0e
68,69,0x94d6b4...88002079,Cryptonex  (CNX),$0.00,43294,https://cryptonex.org/,0x94d6b4fb35fb08cb34aa716ab40049ec88002079
69,70,0x6EA53d...05db5939,EthereumeRus...  (EER),$0.00,982,https://ethereumrush.org/,0x6EA53dfc58C5cbf68a799EdD208cb3A905db5939
70,71,0x1eDC9b...8B6a166C,Stark Chain  (STARK),$0.00,36,https://starkchain.org/,0x1edc9ba729ef6fb017ef9c687b1a37d48b6a166c
71,72,0xC9CC2c...0521A819,Miner  (MINER),$0.00,54,https://minertoken.io/,0xC9CC2cF97A3a21Fcd337658F6898A7860521A819
