,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0x4E1536...73717870,Fantom Token  (FTM),"$1,285,421,270.00",105910,https://fantom.foundation/,0x4e15361fd6b4bb609fa63c81a2be19d873717870
1,2,0x00c83a...0501a7A7,SKALE  (SKL),"$200,643,406.00",23327,https://skale.space/,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7
2,3,0x15b7c0...1D6CEA05,Gelato Netwo...  (GEL),"$21,470,687.00",2857,https://www.gelato.network/,0x15b7c0c907e4c6b9adaaaabc300c08991d6cea05
3,4,0x46b9Ad...8F699D31,CREDITS  (CS),"$1,412,015.00",18628,https://credits.com/,0x46b9ad944d1059450da1163511069c718f699d31
4,5,0x68909e...54Ef65Bb,EvenCoin  (EVN),"$7,713.00",2698,http://www.evencoin.io/,0x68909e586eeac8f47315e84b4c9788dd54ef65bb
5,6,0x426CA1...96e3d0E0,Minereum  (MNE),$0.00,1199331,http://minereum.com,0x426CA1eA2406c07d75Db9585F22781c096e3d0E0
6,7,0x5f6E7f...D6A4EA50,Artemine  (ARTE),$0.00,3090,https://www.artemine.org/,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50
7,8,0x6fE355...2355ae27,HashBX  (HBX),$0.00,977,https://hashbx.io/,0x6fe355c62c6faf6946ce888ffaba9fd12355ae27
8,9,0xD73940...459565fF,RealTract  (RET),$0.00,8218,https://realtract.network/,0xd7394087e1dbbe477fe4f1cf373b9ac9459565ff
9,10,0x047055...75757835,Ethereum Plu...  (ETHP),$0.00,477,https://www.ethereumplus.org/,0x047055f35cb837e838dde0202b7b1a5a75757835
10,11,0x42BEdD...68BB664d,BLOCKMASON L...  (BLINK),$0.00,3540,https://blockmason.link/,0x42bedd647e387dabec65a7dc3a3babcc68bb664d
11,12,0x56ba2E...6d5811A8,BlockCAT  (CAT),$0.00,4396,https://blockcat.io/,0x56ba2ee7890461f463f7be02aac3099f6d5811a8
12,13,0x6096d2...5ad35123,Precium Toke...  (PCM),$0.00,3829,https://www.precium.io/,0x6096d2460cf5177e40b515223428dc005ad35123
13,14,0x7D3b3b...07F0645C,SOS Token  (SOS),$0.00,36876,https://sostoken.net/,0x7d3b3b1aef60bf891bc2ad3c202f791707f0645c
14,15,0xDA80B2...82CF6251,BrokerNekoNe...  (BNN),$0.00,331,https://www.brokerneko.com/,0xda80b20038bdf968c7307bb5907a469482cf6251
15,16,0x5B6858...0c224A32,CORE MultiCh...  (CMCX),$0.00,197,https://www.coremultichain.com/,0x5b685863494c33f344081f75e5430c260c224a32
16,17,0xa2d951...c288737F,Open Contrac...  (OPN),$0.00,4,https://www.opencontracts.io/,0xa2d9519a8692de6e47fb9afcecd67737c288737f
17,18,0xE814ae...C8D5f60F,DAY  (DAY),$0.00,3329,https://chronologic.network/,0xE814aeE960a85208C3dB542C53E7D4a6C8D5f60F
